steps,loss/loss
6542,29.721357345581055
6552,34.43339157104492
6564,33.60274124145508
6605,52.319915771484375
6607,49.59617233276367
6609,42.40629196166992
6621,48.38883972167969
6636,59.77376174926758
6652,42.814048767089844
6675,34.804203033447266
6725,32.6065559387207
6754,35.995269775390625
6770,48.02619552612305
6776,43.727569580078125
6793,50.87939453125
6808,59.74129104614258
6810,58.490535736083984
6813,52.0068473815918
6823,52.89603042602539
6885,36.42243576049805
6887,38.67910385131836
6922,31.10196304321289
6930,31.460378646850586
6942,37.2061767578125
6973,43.453147888183594
6980,42.37765884399414
7027,31.434329986572266
7048,32.172340393066406
7080,36.290435791015625
7081,37.349090576171875
7127,50.71048355102539
7140,53.318790435791016
7209,34.793434143066406
7212,45.95408248901367
7220,36.00676727294922
7281,32.48475646972656
7384,39.39469528198242
7394,36.316017150878906
7485,43.7879638671875
7516,49.39950180053711
7568,49.709259033203125
7635,29.147077560424805
7701,43.12840270996094
7708,47.901641845703125
7753,45.50576400756836
7796,33.93333435058594
7830,34.473052978515625
7840,33.869781494140625
7853,34.11620330810547
7909,38.847042083740234
7924,52.65222930908203
7925,48.880462646484375
7957,40.429237365722656
7987,31.241634368896484
8021,34.46232223510742
8023,34.43825912475586
8046,33.314666748046875
8050,33.79990768432617
8072,43.39655685424805
8073,52.37392044067383
8110,41.70527267456055
8112,49.70108413696289
8128,40.457332611083984
8146,50.423675537109375
8184,33.85112762451172
8190,32.681671142578125
8198,35.78573989868164
8235,36.6446647644043
8254,38.21928024291992
8278,43.573673248291016
8286,46.954681396484375
8291,39.93012237548828
8346,34.88672637939453
8347,29.921085357666016
8362,31.28335952758789
8393,41.40560531616211
8398,33.4219970703125
8430,34.73548889160156
8437,44.082298278808594
8459,47.32555389404297
8530,49.75040054321289
8618,39.12003707885742
8629,38.60066604614258
8680,45.81254196166992
8737,32.36113357543945
8749,35.75837707519531
8750,34.64176559448242
8780,31.601749420166016
8781,36.250267028808594
8799,36.61090850830078
8832,36.21576690673828
8868,49.718971252441406
8907,40.0007438659668
8926,33.008846282958984
8937,35.26263427734375
8949,37.815277099609375
8952,31.0571231842041
8959,28.497886657714844
8968,36.43715286254883
8969,35.02606964111328
8998,39.99851608276367
9059,53.31846237182617
9076,54.3655891418457
9083,44.29802703857422
9099,47.14278030395508
9103,53.438987731933594
9106,53.04841995239258
9167,32.5369873046875
9179,33.96706008911133
9215,34.86233139038086
9220,34.83157730102539
9245,31.842037200927734
9283,49.00331497192383
9286,47.210601806640625
9293,51.29920196533203
9296,43.91157913208008
9337,48.97433090209961
9362,32.883758544921875
9379,30.95284080505371
9452,37.26082229614258
9490,59.40470886230469
9556,38.21216583251953
9573,32.07900619506836
9586,32.196266174316406
9606,35.30553436279297
9654,41.90161895751953
9674,38.95134735107422
9705,43.921478271484375
9732,45.511810302734375
9756,38.17886734008789
9762,30.20462417602539
9817,29.299165725708008
9915,47.25172805786133
9941,49.56771469116211
9966,38.99055862426758
9986,36.406314849853516
10001,29.02621078491211
10086,37.42246627807617
10100,34.44657897949219
10117,47.50271987915039
10186,34.609317779541016
10195,29.125667572021484
10235,30.33309555053711
10245,36.00859069824219
10256,39.77218246459961
10287,46.50019073486328
10352,46.63424301147461
10354,30.804561614990234
10370,33.93865203857422
10381,28.802261352539062
10439,32.24185562133789
10444,32.683990478515625
10482,38.45247268676758
10483,38.35111999511719
10498,43.314537048339844
10502,45.76902389526367
10503,48.79478073120117
10527,41.500370025634766
10550,31.177871704101562
10565,29.619577407836914
10631,31.1866455078125
10632,31.084285736083984
10635,33.793853759765625
