steps,input_info/rewards
5049,-7.570517539978027
5064,-8.619562149047852
5076,-8.60381031036377
5135,-9.089536666870117
5162,-8.022512435913086
5188,-8.789527893066406
5199,-7.467035293579102
5201,-8.435026168823242
5203,-7.618172645568848
5221,-8.06580924987793
5254,-8.712349891662598
5283,-8.364633560180664
5289,-7.560658931732178
5309,-6.937540531158447
5322,-7.297759056091309
5375,-8.186979293823242
5402,-7.940464019775391
5412,-7.6297736167907715
5416,-8.1155424118042
5422,-9.607891082763672
5441,-7.573157787322998
5450,-8.01431941986084
5455,-6.181102752685547
5504,-8.271449089050293
5523,-7.031219482421875
5526,-7.477685928344727
5566,-7.904665470123291
5576,-8.157523155212402
5588,-8.011119842529297
5612,-8.374129295349121
5674,-8.574444770812988
5717,-7.640834331512451
5721,-8.520261764526367
5742,-9.199264526367188
5756,-7.293750762939453
5778,-7.720442771911621
5807,-9.242594718933105
5813,-8.014485359191895
5831,-9.16468334197998
5847,-10.235734939575195
5870,-9.195854187011719
5882,-9.407517433166504
5942,-8.776843070983887
5945,-8.911900520324707
5984,-8.801862716674805
5991,-9.721940040588379
6047,-9.621357917785645
6063,-9.90640640258789
6110,-8.875088691711426
6112,-10.093844413757324
6166,-10.324281692504883
6196,-10.311848640441895
6221,-7.304418563842773
6235,-9.45629596710205
6237,-8.531366348266602
6283,-9.73567008972168
6303,-8.310524940490723
6304,-9.663188934326172
6313,-9.104057312011719
6318,-9.532800674438477
6333,-9.004496574401855
6352,-10.026408195495605
6377,-8.337461471557617
6412,-8.678523063659668
6426,-10.240561485290527
6464,-8.692682266235352
6485,-8.802374839782715
6489,-9.207935333251953
6492,-9.464444160461426
6505,-9.002010345458984
6542,-8.639348030090332
6552,-8.227751731872559
6564,-7.460681915283203
6605,-9.564329147338867
6607,-8.4264554977417
6609,-6.951628684997559
6621,-9.800346374511719
6636,-9.688980102539062
6652,-9.956083297729492
6675,-8.932448387145996
6725,-7.525705337524414
6754,-7.4052653312683105
6770,-10.608850479125977
6776,-8.896233558654785
6793,-8.497273445129395
6808,-8.747187614440918
6810,-8.82787799835205
6813,-8.21320629119873
6823,-10.502208709716797
6885,-8.150032043457031
6887,-7.442227363586426
6922,-8.049930572509766
6930,-9.160011291503906
6942,-7.675259590148926
6973,-9.720029830932617
6980,-7.986886024475098
7027,-8.762887001037598
7048,-8.238513946533203
7080,-8.481098175048828
7081,-7.301494598388672
7127,-8.048344612121582
7140,-9.04568099975586
7209,-9.323944091796875
7212,-8.51790714263916
7220,-7.030375003814697
7281,-9.348003387451172
7384,-8.128805160522461
7394,-9.108138084411621
7485,-8.782157897949219
7516,-7.427542686462402
7568,-8.64857006072998
7635,-8.302903175354004
7701,-8.049185752868652
7708,-8.775727272033691
7753,-9.102212905883789
7796,-8.537516593933105
7830,-8.472914695739746
7840,-8.813230514526367
7853,-8.88972282409668
7909,-9.443257331848145
7924,-11.058195114135742
7925,-9.274940490722656
7957,-8.348708152770996
7987,-7.960064888000488
8021,-9.13709831237793
8023,-8.9577054977417
8046,-9.278038024902344
8050,-8.961103439331055
8072,-10.081584930419922
8073,-8.450206756591797
8110,-10.427983283996582
8112,-9.230438232421875
8128,-8.92286491394043
8146,-10.300004005432129
8184,-9.365567207336426
8190,-9.583410263061523
8198,-10.244633674621582
8235,-9.434311866760254
8254,-9.073905944824219
8278,-7.9418768882751465
8286,-9.529882431030273
8291,-9.88720703125
8346,-8.720468521118164
8347,-10.966876029968262
8362,-8.067160606384277
8393,-8.319754600524902
8398,-9.999629020690918
8430,-8.814784049987793
8437,-10.175074577331543
8459,-8.986918449401855
8530,-9.375249862670898
8618,-10.064274787902832
8629,-9.006547927856445
8680,-8.890578269958496
8737,-8.730473518371582
8749,-10.3583984375
8750,-10.3954439163208
8780,-8.713683128356934
8781,-8.729286193847656
8799,-9.380805969238281
8832,-8.313326835632324
8868,-9.863337516784668
8907,-8.296281814575195
8926,-9.697696685791016
8937,-9.066688537597656
8949,-8.538734436035156
8952,-9.148798942565918
8959,-9.325778007507324
8968,-8.592644691467285
8969,-9.024855613708496
8998,-9.66593074798584
9059,-8.944676399230957
9076,-9.936129570007324
9083,-9.169191360473633
9099,-9.463969230651855
9103,-7.677530765533447
9106,-9.600744247436523
9167,-8.922616958618164
9179,-8.660362243652344
9215,-9.430868148803711
9220,-8.800936698913574
9245,-8.461050987243652
9283,-9.544211387634277
9286,-9.485743522644043
9293,-8.469429016113281
9296,-9.05887508392334
9337,-9.258709907531738
9362,-9.886119842529297
9379,-9.947542190551758
9452,-9.319795608520508
9490,-9.950093269348145
9556,-8.396726608276367
9573,-8.691699028015137
9586,-9.781562805175781
9606,-10.470112800598145
9654,-8.55595588684082
9674,-9.106239318847656
9705,-9.05643081665039
9732,-9.108224868774414
9756,-10.285725593566895
9762,-9.745606422424316
9817,-10.914405822753906
9915,-8.206287384033203
9941,-10.099884033203125
9966,-9.694218635559082
9986,-9.824065208435059
10001,-11.048544883728027
10086,-9.88395881652832
10100,-9.326030731201172
10117,-9.205105781555176
10186,-9.55504035949707
10195,-8.478022575378418
10235,-7.655995845794678
10245,-9.306901931762695
10256,-9.411311149597168
10287,-8.550942420959473
10352,-9.408601760864258
10354,-9.233325958251953
10370,-8.10256290435791
10381,-10.444987297058105
10439,-8.145101547241211
10444,-8.779505729675293
10482,-8.649677276611328
10483,-7.291646957397461
10498,-7.378383159637451
10502,-8.393268585205078
10503,-8.467155456542969
10527,-10.12096118927002
10550,-7.922054290771484
10565,-9.29784870147705
10631,-9.612598419189453
10632,-9.874871253967285
10635,-7.766162872314453
10640,-9.65376091003418
10678,-10.838278770446777
10691,-8.631364822387695
10728,-8.679987907409668
10738,-9.530633926391602
10763,-9.91089153289795
10807,-10.504331588745117
10828,-7.821956157684326
10836,-9.793292999267578
10861,-9.036550521850586
10863,-9.686243057250977
10880,-9.953327178955078
10907,-8.574289321899414
10916,-7.824727535247803
10931,-9.968090057373047
10977,-9.485696792602539
10982,-10.101553916931152
11031,-9.493666648864746
