steps,input_info/rewards
29079,-51.84612274169922
29093,-55.1191291809082
29173,-49.43323516845703
29185,-49.4382209777832
29242,-51.18880081176758
29286,-43.44289016723633
29530,-52.99972152709961
29617,-52.05536651611328
29637,-48.944313049316406
29722,-46.35668182373047
29791,-52.040462493896484
29808,-50.0186653137207
30080,-46.73694610595703
30090,-46.981048583984375
30200,-48.051910400390625
30209,-46.04045867919922
30420,-46.75422668457031
30455,-51.80793762207031
30473,-45.08089065551758
30524,-53.37755584716797
30583,-51.035709381103516
30628,-47.427913665771484
30764,-49.422061920166016
30773,-51.62919616699219
30824,-48.9239387512207
30839,-47.360939025878906
30942,-47.405494689941406
31121,-53.084373474121094
31140,-51.02043151855469
31174,-52.56798553466797
31363,-51.38780975341797
31383,-54.770751953125
31453,-50.64937973022461
31472,-52.32738494873047
31509,-48.89149856567383
31645,-49.00760269165039
31716,-50.52260208129883
31800,-45.913970947265625
31846,-51.50626754760742
31969,-47.99253463745117
32048,-53.74131393432617
32051,-47.76039123535156
32076,-52.36412811279297
32162,-43.45492172241211
32166,-45.084808349609375
32256,-51.06664276123047
32344,-47.10294723510742
32354,-50.18645477294922
32384,-42.767059326171875
32401,-50.33021926879883
32445,-50.294586181640625
32487,-49.6431999206543
32510,-49.96305847167969
32712,-55.357852935791016
32746,-47.54909133911133
32771,-51.30809783935547
32783,-45.04857635498047
32794,-49.438621520996094
32836,-54.22258758544922
32904,-52.40388870239258
32920,-46.8631591796875
33043,-53.50701141357422
33073,-51.59529113769531
33236,-45.65673065185547
33390,-47.52384948730469
33408,-48.67118835449219
33431,-45.057037353515625
33509,-46.08321762084961
33535,-47.19303894042969
33579,-51.838809967041016
33617,-45.7835693359375
33635,-48.485145568847656
33724,-48.767478942871094
33819,-47.526641845703125
33942,-42.02356719970703
34007,-44.37880325317383
34020,-41.514869689941406
34024,-50.851287841796875
34111,-45.10568618774414
34139,-49.74739074707031
34212,-46.25238800048828
34254,-49.12313461303711
34302,-46.634544372558594
34408,-43.61591339111328
34428,-46.81304168701172
34453,-49.39531707763672
34461,-46.639102935791016
34464,-44.09041213989258
34490,-44.373111724853516
34519,-43.39058303833008
34535,-54.44046401977539
34632,-45.86820602416992
34638,-42.369285583496094
34694,-49.03303909301758
35045,-48.57011795043945
35113,-50.85445785522461
35175,-45.644351959228516
35290,-49.16053009033203
35291,-40.564693450927734
35308,-44.56397247314453
35373,-43.0335807800293
35415,-51.492576599121094
35482,-48.05517578125
35491,-51.1511116027832
35493,-45.59428024291992
35571,-48.02419662475586
35689,-46.52390670776367
35729,-46.720855712890625
35745,-44.51598358154297
35785,-46.03453826904297
35874,-47.559600830078125
36019,-46.37511444091797
36119,-45.60349655151367
36416,-47.315216064453125
36706,-49.7202262878418
36719,-45.72087860107422
36876,-41.64760208129883
36980,-42.33275604248047
37012,-47.964691162109375
37084,-46.6663932800293
37149,-48.216861724853516
37163,-41.67057418823242
37186,-46.1125602722168
37187,-43.48582077026367
37254,-43.781124114990234
37321,-44.15633773803711
37507,-45.86389923095703
37650,-44.65625762939453
37702,-44.03584671020508
37820,-46.08017349243164
37895,-41.81366729736328
37906,-47.51746368408203
38017,-44.906192779541016
38072,-44.76892852783203
38124,-50.63526153564453
38256,-41.062225341796875
38347,-46.61341094970703
38354,-46.49366760253906
38404,-44.262176513671875
38633,-39.80562973022461
38643,-40.01835632324219
38707,-41.36403274536133
38723,-38.91096878051758
38758,-42.27079772949219
38791,-44.45934295654297
38883,-37.29759979248047
38975,-44.50028610229492
39067,-37.78535461425781
39128,-43.58515167236328
39166,-35.57222366333008
39186,-39.5684814453125
39188,-41.20360565185547
39217,-39.879913330078125
39234,-37.379310607910156
39327,-37.134742736816406
